#{"t_start": 1744553760.2739358, "env_id": "None"}
r,l,t
-1.29243,9,46.452517
-11.329934,4,63.389611
-6.093361,30,216.095521
33.129995,84,637.136855
-3.990285,58,931.788865
-7.810282,3,945.884592
-4.453885,20,1051.367007
-3.084319,10,1103.277282
26.8193,6,1132.615315
-5.435575,4,1156.869419
32.516088,21,1262.643629
-1.694047,6,1295.353774
-11.384371,1,1304.345042
-6.365251,12,1364.911516
29.93979,15,1436.628268
-7.439035,6,1472.608123
-6.141516,5,1505.331527
0.349611,7,1538.863874
-7.185853,12,1598.663606
-6.276749,24,1718.904889
-13.872395,1,1724.833903
3.310368,13,1790.136144
-6.707134,9,1833.459932
-10.424061,1,1842.562129
25.769401,58,2131.20808
-4.567752,20,2237.893679
-8.522994,6,2267.805598
-25.645719,1,2276.8439
-7.419478,2,2286.65771
1.399097,9,2329.607176
27.836552,14,2400.122098
-9.748424,2,2413.599318
-3.638873,7,2446.895397
-23.976432,1,2455.918436
1.628214,15,2530.571685
-26.364686,1,2539.500835
-3.726385,7,2575.793238
-28.191323,1,2585.151957
-4.102271,18,2668.62596
-6.516282,4,2688.459934
-6.763064,10,2738.453754
-5.98592,18,2835.610031
-14.562328,1,2844.555978
-10.259791,9,2889.210039
-9.567932,3,2907.810976
-4.253776,19,3007.825136
-9.309186,1,3013.068121
8.115741,6,3042.031129
-8.139778,6,3070.276625
-4.100209,8,3111.348957
-0.214178,9,3153.391544
-17.304639,1,3162.628901
-1.083671,13,3232.764252
-4.399584,8,3271.61067
-8.770615,1,3280.612406
0.961801,10,3330.818063
-9.012171,2,3341.017693
-28.045277,1,3349.686086
41.499764,11,3401.387598
-7.730788,3,3415.886066
-5.494525,5,3439.372765
-5.331313,5,3467.777302
-4.486658,11,3520.216547
-4.838604,6,3549.556189
-9.096896,3,3564.035719
-11.538072,2,3577.334914
-6.435233,12,3638.885486
-4.683042,10,3685.903126
-12.330261,1,3694.510381
-7.174652,16,3775.135138
-25.544792,1,3784.113122
-4.794857,6,3816.026401
35.300686,60,4121.123478
0.016754,10,4171.892737
-2.815647,6,4201.919837
29.233571,50,4445.286997
-9.284104,5,4473.064902
-8.085384,9,4516.060647
-2.364768,51,4782.828986
44.029669,13,4846.221685
28.969501,28,4986.474241
-5.214006,9,5030.532562
-5.243242,6,5068.396909
0.413153,10,5117.433236
-4.704204,4,5137.708837
-8.47181,5,5166.703295
0.426042,11,5220.37709
-1.062571,32,5393.441872
-12.648295,18,5505.641295
-19.448438,19,5632.754687
-3.94701,5,5665.336
