2025-04-14 00:28:20 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 00:28:48 | INFO     | get_llm_labels  | No valid predictions to compute accuracy.
2025-04-14 00:28:48 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-14 01:36:05 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 01:37:50 | INFO     | get_llm_labels  | No valid predictions to compute accuracy.
2025-04-14 01:37:50 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-14 01:39:51 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 01:40:33 | INFO     | get_llm_labels  | No valid predictions to compute accuracy.
2025-04-14 01:40:33 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-14 01:53:33 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 01:54:50 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 33.33%
2025-04-14 01:54:50 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 33.33%
2025-04-14 02:01:16 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 02:02:16 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 50.00%
2025-04-14 02:02:16 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 100.00%
2025-04-14 02:13:08 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 02:15:00 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 50.00%
2025-04-14 02:15:00 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 50.00%
2025-04-14 02:15:00 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-14 02:22:26 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 02:29:31 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 02:32:58 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 60.00%
2025-04-14 02:32:58 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 20.00%
2025-04-14 02:32:58 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-14 02:38:20 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 02:40:07 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 60.00%
2025-04-14 02:40:07 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 60.00%
2025-04-14 02:40:07 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-14 02:42:19 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 02:45:24 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 60.00%
2025-04-14 02:45:24 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 80.00%
2025-04-14 02:45:24 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-14 03:07:06 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 03:08:00 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 50.00%
2025-04-14 03:08:00 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 50.00%
2025-04-14 03:08:00 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-14 07:29:53 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 07:38:45 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 25.00%
2025-04-14 07:38:45 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 75.00%
2025-04-14 07:38:45 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-14 08:42:58 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 08:45:26 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 50.00%
2025-04-14 08:45:26 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 75.00%
2025-04-14 08:49:42 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 08:52:22 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 60.00%
2025-04-14 08:52:22 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 0.00%
2025-04-14 08:52:22 | INFO     | get_llm_labels  | Computed LLM labels successfully...
