#{"t_start": 1743951802.0585687, "env_id": "None"}
r,l,t
-10.3,3,19.798649
-10.7,7,53.41626
-11.0,10,104.14016
-13.2,32,274.133945
-13.8,38,487.06093
-12.0,20,604.256907
13.2,68,979.333477
-11.4,14,1056.581295
-10.1,1,1065.180633
-11.9,19,1161.05601
-11.3,13,1223.763729
-10.5,5,1251.818447
16.3,37,1457.499629
-12.0,20,1566.471805
11.4,86,2010.059945
-11.0,10,2064.687461
-11.8,18,2156.578544
-10.1,1,2161.658373
-10.1,1,2166.758739
-10.1,1,2175.337353
-10.9,9,2226.674178
-10.1,1,2231.753431
-10.1,1,2240.33299
-10.8,8,2281.450682
23.2,68,2655.939873
19.0,10,2709.762856
-10.5,5,2736.880136
-11.3,13,2802.096342
-10.1,1,2810.695346
-10.3,3,2829.227376
-10.6,6,2869.281321
-10.7,7,2906.484487
28.6,14,2979.920075
-14.1,41,3192.704683
-11.0,10,3238.559515
-12.8,28,3377.746755
-10.8,8,3419.808475
-10.2,2,3433.319714
-10.1,1,3438.387042
-10.0,100,3949.124865
-10.8,8,3998.172027
-10.1,1,4003.25248
-10.1,1,4011.851935
-10.1,1,4020.452532
-11.4,14,4087.186357
-11.9,19,4184.270735
-10.4,4,4203.373611
-12.1,21,4310.068558
16.3,37,4514.745499
-10.6,6,4547.716252
-13.9,39,4755.887895
-10.7,7,4792.983044
-15.2,52,5061.510783
-10.9,9,5111.232154
-10.2,2,5124.233428
-11.5,15,5201.547526
-12.5,25,5338.58363
-10.4,4,5364.691564
-13.6,36,5567.530473
-10.7,7,5603.99703
-10.1,1,5612.59055
-11.0,10,5667.746149
-18.6,86,6119.685879
-10.8,8,6164.791686
-19.1,91,6652.095557
-11.4,14,6733.687352
-10.9,9,6787.315037
-14.1,41,6999.135317
-10.9,9,7040.765912
-11.0,10,7094.952884
-10.8,8,7132.139707
-10.6,6,7169.311059
-11.2,12,7226.116986
-12.5,25,7354.710307
-10.6,6,7387.851935
-11.2,12,7447.674916
