#{"t_start": 1743886689.7478063, "env_id": "None"}
r,l,t
-8.379214,5,29.262006
0.165013,13,109.033388
1.205232,29,263.09589
-8.643249,9,313.324407
2.809514,12,386.17655
-1.7009,22,504.873641
-8.563438,4,528.109526
1.34409,12,599.602698
-4.021791,100,1119.998921
-5.871537,3,1137.98251
-12.097909,1,1146.581257
-0.853459,11,1209.388846
-1.858831,7,1242.126651
30.932322,9,1288.155849
-3.307117,23,1427.85418
37.977538,28,1558.120697
1.202718,14,1631.434124
0.396545,25,1772.58307
1.210696,100,2311.174309
-5.981862,9,2355.273219
-14.026967,1,2363.852327
-5.693956,15,2442.072319
40.153469,32,2616.112525
-0.55679,26,2763.232813
-8.542373,3,2777.702343
-25.152092,1,2786.271561
1.6826,16,2878.120276
0.485589,8,2916.092394
-27.378863,1,2924.691124
-2.899882,4,2943.233918
-4.234767,8,2984.431022
-4.178498,7,3025.425126
3.310842,44,3255.291052
-1.006465,11,3307.460779
-9.035065,1,3316.046659
-5.030592,1,3321.155567
0.552743,2,3334.286159
-9.371986,53,3621.259682
-3.116511,6,3649.890319
-8.423003,4,3668.997182
27.141366,13,3745.664925
-3.683972,9,3786.807735
-0.632016,11,3842.894004
-8.389186,1,3851.473873
0.622096,24,3979.138258
2.059172,21,4093.827936
37.467455,20,4193.896896
-1.543322,8,4235.931206
-1.649182,3,4250.525136
40.569709,46,4492.927049
1.743278,7,4534.142557
13.367167,23,4659.087864
-1.883084,23,4783.926952
-22.274748,1,4792.499214
-9.416306,32,4957.031668
28.311507,31,5115.909882
1.006206,13,5183.79025
-27.500901,1,5192.369585
-7.884624,2,5201.842083
-6.665769,8,5238.550038
-19.494752,1,5247.144999
-3.470781,9,5288.864796
2.454937,35,5471.682137
-5.860808,33,5642.251271
5.38252,16,5737.064891
-16.623825,1,5749.139675
0.3932,24,5865.048079
18.042486,17,5956.328418
0.303097,22,6082.280685
-2.869955,4,6105.987213
-2.884372,6,6134.114877
-27.738059,1,6142.669237
0.002102,35,6337.230218
-0.62781,10,6389.48988
-7.361544,7,6430.13558
31.54429,7,6467.109551
0.694193,14,6544.085998
37.833402,35,6729.953848
-4.845964,13,6794.167103
-6.246354,72,7179.772224
-4.223972,15,7265.563156
-26.994281,1,7274.175593
-8.188183,3,7292.305055
-1.953966,1,7297.341814
-7.19374,22,7440.593461
28.440009,9,7486.648571
40.280014,27,7631.322753
-6.764689,6,7663.405559
0.345726,7,7699.483955
-8.153802,2,7713.093197
-0.187121,4,7735.654551
-7.783341,2,7749.125337
-25.992956,1,7757.704374
-1.937371,40,7983.801404
-27.426344,1,7992.439031
1.60451,18,8090.677212
-1.404085,53,8378.101549
-9.745426,12,8443.210514
-3.199805,16,8533.743591
-5.566693,18,8632.936149
-10.665171,4,8659.5037
-8.24142,2,8668.954238
-7.292273,3,8683.472785
-25.404758,1,8692.071943
-4.349684,11,8751.947389
-13.290419,87,9234.10216
-6.017187,4,9256.548873
-8.277603,2,9266.01673
1.739534,20,9367.339952
38.747697,47,9612.432239
28.985195,43,9836.376056
-0.970761,11,9903.412153
-1.010828,13,9968.167977
4.533372,21,10074.696826
2.2043,15,10152.796646
35.983243,40,10357.94373
-2.456753,28,10508.497275
41.80661,15,10599.261396
-9.342575,10,10654.055625
5.705734,24,10776.576467
-2.144791,9,10826.659898
-9.779209,2,10843.2091
-7.910076,100,11394.31655
-5.554767,5,11418.785353
-7.302472,1,11423.865615
-26.820686,1,11432.443922
2.02591,11,11484.954522
-28.377077,1,11493.553145
-4.225511,7,11527.097271
-31.187038,44,11766.952871
26.985571,8,11816.655489
-7.446134,4,11840.100378
7.573172,11,11890.378536
2.389754,15,11964.658469
-27.592975,1,11973.235176
-4.396946,8,12014.487764
-4.83437,6,12046.657463
-1.099498,10,12100.48611
-1.882114,46,12352.33582
-7.442581,4,12371.333746
-11.289585,2,12380.775574
7.646317,17,12474.836928
27.470205,50,12745.723247
1.350012,26,12882.649126
-5.469614,4,12905.319237
-3.788545,11,12968.539654
-4.344805,18,13061.034858
-7.324428,3,13075.062949
-6.593094,4,13094.163391
29.015202,18,13190.181932
-6.542249,4,13216.129028
41.466783,41,13415.509415
-4.759612,10,13461.745936
-1.48839,12,13521.06565
-9.029762,1,13526.123657
-2.468981,7,13559.64753
-5.838335,23,13675.46795
-7.209892,1,13684.031175
-4.601193,7,13724.603827
-3.378269,11,13775.44879
-4.010037,16,13869.972787
38.63596,13,13942.822095
-4.84009,18,14032.003224
-11.016672,80,14455.944011
-2.101655,27,14606.071949
1.109002,12,14665.737566
29.426664,14,14739.659957
-6.67576,15,14819.526647
-6.479895,5,14851.148293
-2.576033,56,15160.861318
8.519804,15,15235.987881
-8.170728,7,15269.074839
2.845623,8,15307.080511
3.360333,18,15412.500203
-0.286223,11,15469.231005
-7.068192,3,15487.267561
-5.351059,6,15516.049217
-0.598041,7,15557.30846
-12.677173,1,15565.901513
-1.004841,22,15672.35182
-2.974359,24,15792.033802
-1.588576,10,15842.617253
-5.779801,6,15874.435205
-3.601934,8,15915.13315
-6.53434,1,15920.236011
-1.639342,13,15983.669599
-3.380333,6,16015.287726
0.093379,29,16168.157293
-6.145517,4,16187.626774
-1.201216,22,16307.43041
38.960965,18,16398.736776
6.444542,16,16484.614763
-20.770993,1,16493.212911
40.121102,12,16567.06531
-8.305881,5,16591.560555
-8.834615,4,16621.752101
-0.513379,11,16689.040264
-6.886695,4,16711.537713
2.628776,9,16753.185663
26.825618,6,16785.674425
38.387091,9,16835.937099
-5.502424,4,16859.071453
-2.793108,13,16927.261944
-0.881332,9,16972.928397
-27.661726,1,16981.506567
-7.119902,3,16999.990917
0.323728,16,17079.463253
0.580339,7,17116.984601
-15.336403,1,17125.560976
-9.435488,1,17130.662715
2.142009,4,17149.607003
-26.575444,1,17158.204367
0.691629,42,17391.441396
0.052676,8,17428.124619
