#{"t_start": 1744942894.3663166, "env_id": "None"}
r,l,t
4.45564,6,29.219249
28.664095,12,91.638439
4.523212,12,155.826238
143.211189,100,687.465615
-0.728423,7,723.552383
-5.105464,1,732.144046
126.717417,97,1231.347814
2.415305,9,1276.993043
-0.485365,1,1282.064265
122.472461,100,1810.947639
4.314217,7,1850.670825
62.774655,100,2341.354104
0.43393,2,2350.875529
2.755775,5,2378.482877
3.722792,1,2387.024602
2.117415,7,2419.754303
1.079628,9,2473.893708
38.693433,44,2686.027123
-12.430524,7,2718.084548
3.330114,1,2723.209702
-7.599476,8,2763.378125
-6.306486,8,2800.7329
57.835789,49,3074.147576
30.316137,19,3173.050497
59.075013,38,3375.691094
-2.006663,8,3416.233128
-2.28625,1,3424.784662
0.404349,1,3433.363878
5.54582,3,3447.346556
117.14677,86,3881.760839
2.326529,3,3899.84964
11.490183,8,3944.786105
1.978103,16,4025.748527
37.304415,25,4143.368323
45.934203,35,4324.989277
63.77377,51,4595.049245
132.307574,100,5117.680278
-72.505611,11,5172.902734
1.006028,1,5178.022335
2.239035,3,5191.968165
121.199605,81,5626.884115
