#{"t_start": 1744024443.9305143, "env_id": "None"}
r,l,t
-3.345897,18,93.845638
-4.742521,5,122.005319
-5.830667,1,130.583661
38.910234,9,177.889739
-6.827108,5,213.00473
-4.750267,10,263.73712
-5.594321,6,291.37135
-5.663554,14,360.066294
-9.315827,1,368.665744
0.831503,14,442.532559
-0.859355,24,571.086132
-17.661688,1,576.201156
-4.68789,10,626.894054
3.39659,16,712.698601
2.716596,12,780.064805
0.322994,19,886.678104
-10.107535,4,913.317807
1.265601,13,974.562377
-4.947522,8,1020.815982
-8.477705,4,1047.457547
-19.4675,1,1052.54989
-7.481805,4,1071.676784
-9.152509,1,1080.259775
1.300157,12,1140.961666
-27.981583,1,1149.554065
-5.523432,27,1304.507434
-12.744202,2,1313.969918
1.226578,14,1395.310202
-5.649571,6,1423.969697
-26.805796,1,1432.560853
-2.010054,7,1466.081603
-7.355946,5,1501.041244
-10.308687,3,1515.220881
-9.771705,2,1532.211011
-8.288215,4,1555.136621
-16.235554,18,1657.891589
-4.49712,8,1695.993356
31.526591,17,1782.952885
-6.179026,3,1797.417681
0.538293,25,1935.180318
-21.87389,1,1947.270948
1.144316,18,2045.013783
-9.545538,3,2067.093419
-9.324787,5,2091.641492
-18.438971,10,2142.599372
-7.415295,2,2152.614799
-7.041345,6,2192.782517
-8.190412,4,2211.883053
38.924993,12,2268.581902
-5.466626,6,2300.684254
-7.016729,5,2324.751016
-8.935955,1,2329.824883
-1.864877,2,2342.95718
-9.258297,8,2384.179409
0.019669,15,2463.761232
-1.380085,16,2552.020904
-21.223284,1,2564.019913
-7.122324,6,2600.639592
41.823914,15,2687.441823
24.551078,25,2821.454037
-6.393928,4,2840.532833
1.03822,14,2906.007323
-8.054658,1,2918.07919
28.430299,14,2988.249364
-7.08307,5,3015.876467
-2.468448,1,3020.954001
-18.37023,1,3029.533073
-0.797896,18,3113.891849
-9.429644,26,3246.664412
-5.493614,7,3283.229493
30.728405,1,3295.300756
-1.681789,6,3326.793637
-6.914705,1,3335.39316
-10.732314,24,3464.795465
-3.763531,100,3978.061907
1.367318,20,4079.410071
-11.456119,2,4088.887324
-4.024386,43,4333.688714
31.648554,19,4435.099519
-0.910298,39,4630.557805
40.893742,11,4682.543261
-5.804462,5,4705.640905
-0.53952,1,4710.740455
-1.928904,1,4715.90905
-22.639496,1,4724.43317
-5.136235,5,4755.896247
-5.402388,4,4778.523581
-8.023985,4,4801.112458
-9.886682,1,4806.198218
-15.246353,1,4814.796519
-8.248744,2,4824.762478
-1.099272,8,4866.736363
-5.412997,4,4885.302871
-2.959274,9,4926.9921
-20.5559,1,4935.556585
0.505329,8,4976.802623
-26.286306,1,4985.380485
-3.406367,42,5208.331095
-0.074131,9,5259.048851
-27.116649,1,5267.62178
1.638406,28,5413.911658
38.347368,9,5455.492118
-10.11098,6,5486.708103
-8.535885,2,5498.082002
2.780293,24,5631.284589
-7.222934,3,5649.364889
-26.592072,1,5657.944461
-0.826253,7,5694.93456
-1.955989,11,5745.519524
-22.593135,1,5754.079814
0.57877,7,5787.612588
-6.226152,3,5805.76465
-5.029136,4,5825.291883
-5.752876,16,5913.950389
2.727695,19,6013.805459
-2.248771,13,6082.431403
-5.553364,5,6105.948074
-6.356431,35,6289.396799
43.888704,15,6372.008001
-4.957636,5,6407.572597
-5.002343,8,6450.711514
-1.131086,3,6468.692988
-6.171893,12,6544.504265
-1.225134,14,6622.781087
-6.222665,4,6646.423162
43.590873,23,6768.351712
31.130174,13,6834.152343
-0.645872,10,6884.378958
